SubscriptionId, Timestamp, LogLevel, Tag
e81dd7cd-01a5-4e75-8acf-52ef76c1bc7e, , [0, P_STOCK_ADD]
e81dd7cd-01a5-4e75-8acf-52ef76c1bc7e, , [0, D_PRODUCT_SAVE]
e81dd7cd-01a5-4e75-8acf-52ef76c1bc7e, , [0, P_STOCK_ADD]
e81dd7cd-01a5-4e75-8acf-52ef76c1bc7e, , [0, D_PRODUCT_SAVE]
e81dd7cd-01a5-4e75-8acf-52ef76c1bc7e, , [0, B_BASKET_1]
e81dd7cd-01a5-4e75-8acf-52ef76c1bc7e, , [0, S_PRODUCTS_ADD]
e81dd7cd-01a5-4e75-8acf-52ef76c1bc7e, , [0, S_PRODUCTS_ADD]
e81dd7cd-01a5-4e75-8acf-52ef76c1bc7e, , [0, S_BASKET_INCREMENT]
e81dd7cd-01a5-4e75-8acf-52ef76c1bc7e, , [0, S_BASKET_CHECKOUT]
e81dd7cd-01a5-4e75-8acf-52ef76c1bc7e, , [0, S_BASKET_CHECKOUT]
e81dd7cd-01a5-4e75-8acf-52ef76c1bc7e, , [0, D_PAYMENT_REMOVE]
e81dd7cd-01a5-4e75-8acf-52ef76c1bc7e, , [0, D_PAYMENT_PRINT]
e81dd7cd-01a5-4e75-8acf-52ef76c1bc7e, , [0, D_PAYMENT_PRINT]
